Dato;Beløpet gjelder;Ut;;;
;Skyldig beløp fra forrige faktura;403,79;;;
12.10.2022;CAFE-SITO REALF, TRONDHEIM Reservert transaksjon;24,00;;;
11.10.2022;REMA MOLLENBERG, Trondheim;125,30;;;
11.10.2022;SIT KAFE REALFA, TRONDHEIM;100,24;;;
10.10.2022;SIT KAFE REALFA, TRONDHEIM;88,07;;;
10.10.2022;EXTRA ROSENBORG 822419, TRONDHEIM;80,86;;;
10.10.2022;SIT STORKIOSK, TRONDHEIM;35,00;;;
10.10.2022;SIT KAFE REALFA, TRONDHEIM;66,95;;;
10.10.2022;SP COLORFUL STANDARD, COPENHAGEN K, DNK;900,00;;;
10.10.2022;REMA MOLLENBERG, Trondheim;107,20;;;
09.10.2022;Deli de Luca Nordre, Trondheim;112,00;;;
09.10.2022;Innbetaling;;;;
09.10.2022;SAMFUNDET I TR., TRONDHEIM;30,00;;;
09.10.2022;Bar Circus, Trondheim;100,00;;;
08.10.2022;REMA MOLLENBERG, Trondheim;99,60;;;
08.10.2022;SAMFUNDET I TR., TRONDHEIM;69,00;;;
08.10.2022;ZTL*Cafe La Belle AS, Trondheim;214,20;;;
07.10.2022;SAMFUNDET I TR., TRONDHEIM;30,00;;;
07.10.2022;ZTL*KJELLERN, Trondheim;55,00;;;
07.10.2022;ZTL*KJELLERN, Trondheim;85,00;;;
07.10.2022;Bunnpris Moholt, Trondheim;59,80;;;
07.10.2022;SIT STORKIOSK, TRONDHEIM;39,00;;;
06.10.2022;SIT KAFE REALFA, TRONDHEIM;95,23;;;
06.10.2022;SIT KAFE REALFA, TRONDHEIM;29,00;;;
06.10.2022;Bunnpris Bakklandet, Trondheim;58,00;;;
05.10.2022;EXTRA ROSENBORG 822419, TRONDHEIM;98,00;;;
05.10.2022;SIT KAFE REALFA, TRONDHEIM;62,00;;;
05.10.2022;SIT STORKIOSK, TRONDHEIM;15,75;;;
05.10.2022;SIT KAFE REALFA, TRONDHEIM;42,60;;;
05.10.2022;CAFE-SITO REALF, TRONDHEIM;24,00;;;
04.10.2022;SIT KAFE REALFA, TRONDHEIM;62,65;;;
04.10.2022;REMA MOLLENBERG, Trondheim;39,09;;;
04.10.2022;SIT KAFE REALFA, TRONDHEIM;94,51;;;
03.10.2022;Månedspris Mastercard Upgrade;49,00;;;
03.10.2022;SIT KAFE REALFA, TRONDHEIM;56,56;;;
03.10.2022;SIT KAFE REALFA, TRONDHEIM;51,55;;;
03.10.2022;REMA MOLLENBERG, Trondheim;24,30;;;
03.10.2022;Innbetaling;;;;
02.10.2022;Bunnpris Bakklandet, Trondheim;58,00;;;
02.10.2022;SUBWAY TRONDHEI, TRONDHEIM;90,00;;;
02.10.2022;ATB APP, Oslo;535,00;;;
02.10.2022;Bunnpris Bakklandet, Trondheim;57,29;;;
01.10.2022;ZTL*Cafe La Belle AS, Trondheim;214,20;;;
01.10.2022;EXTRA ROSENBORG 822419, TRONDHEIM;164,10;;;
30.09.2022;APPLE.COM/BILL, 80056952, IRL;10,00;;;
30.09.2022;SOT SABRURA TORVET, TRONDHEIM;364,00;;;
30.09.2022;REMA MOLLENBERG, Trondheim;177,50;;;
30.09.2022;WWW.F1.COM, INTERNET, GBR;152,48;;;
30.09.2022;SIT STORKIOSK, TRONDHEIM;57,00;;;
30.09.2022;SAMFUNDET I TR., TRONDHEIM;74,00;;;
30.09.2022;SAMFUNDET I TR., TRONDHEIM;50,00;;;
30.09.2022;SAMFUNDET I TR., TRONDHEIM;69,00;;;
29.09.2022;SIT KAFE REALFA, TRONDHEIM;24,50;;;
29.09.2022;SIT KAFE REALFA, TRONDHEIM;90,57;;;
29.09.2022;APPLE.COM/BILL, 80056952, IRL;55,00;;;
29.09.2022;SIT KAFE REALFA, TRONDHEIM;15,00;;;
29.09.2022;SAS1172485432437, FORNEBU;479,00;;;
29.09.2022;SIT KAFE REALFA, TRONDHEIM;111,34;;;
28.09.2022;CAFE-SITO REALF, TRONDHEIM;24,00;;;
28.09.2022;SJ WEB, Oslo;599,00;;;
28.09.2022;SIT KAFE REALFA, TRONDHEIM;65,87;;;
27.09.2022;Bunnpris Bakklandet, Trondheim;116,00;;;
27.09.2022;SIT KAFE REALFA, TRONDHEIM;84,49;;;
26.09.2022;SIT STORKIOSK, TRONDHEIM;53,00;;;
26.09.2022;Bunnpris Bakklandet, Trondheim;235,00;;;
26.09.2022;SIT STORKIOSK, TRONDHEIM;52,00;;;
25.09.2022;Wolt, Oslo;422,00;;;
24.09.2022;Innbetaling;;;;
22.09.2022;SIT KAFE REALFA, TRONDHEIM;24,50;;;
22.09.2022;SIT KAFE HANGAR, TRONDHEIM;93,80;;;
21.09.2022;Innbetaling;;;;
21.09.2022;SIT KAFE REALFA, TRONDHEIM;18,00;;;
21.09.2022;SIT KAFE REALFA, TRONDHEIM;62,00;;;
20.09.2022;SIT KAFE REALFA, TRONDHEIM;121,36;;;
20.09.2022;REMA ELGESETER, Trondheim;79,40;;;
20.09.2022;SIT KAFE REALFA, TRONDHEIM;58,00;;;
20.09.2022;ZTL*KJELLERN, Trondheim;40,00;;;
19.09.2022;SIT KAFE REALFA, TRONDHEIM;62,00;;;
19.09.2022;Bunnpris Buran, Trondheim;52,00;;;
19.09.2022;YME Store AS, Oslo;;;;
19.09.2022;CARE OF CARL, Boraas, SWE;1998,00;;;
18.09.2022;SAMFUNDET I TR., TRONDHEIM;69,00;;;
17.09.2022;Innbetaling;;;;
17.09.2022;QUIZLET.COM, 510-495-6550, USA;272,99;;;
17.09.2022;REMA MOLLENBERG, Trondheim;47,90;;;
17.09.2022;CLAS OHL 2827, TRONDHEIM;598,90;;;
17.09.2022;EXTRA ROSENBORG 822419, TRONDHEIM;300,90;;;
17.09.2022;Radisson Blu Trondheim, Trondheim;190,00;;;
17.09.2022;Radisson Blu Trondheim, Trondheim;95,00;;;
17.09.2022;Radisson Blu Trondheim, Trondheim;95,00;;;
16.09.2022;SIT STORKIOSK, TRONDHEIM;45,00;;;
;;;;;
